name;country;city;company;system;ebikes;latitude;longitude
Abu Dhabi Careem BIKE;United Arab Emirates;Abu Dhabi;Careem;No especificado;No especificado;24,4866;54,3728
Accès Vélo;Canada;Saguenay;PBSC Urban Solutions;No especificado;No especificado;48,433333;-71,083333
Aksu;China;阿克苏市 (Aksu City);阿克苏公共服务;No especificado;No especificado;41,1664;80,2617
Alba;Italy;Alba;Comunicare S.r.l.;Bicincittà;No especificado;44,716667;8,083333
AlbaBici;Spain;Albacete;Instituto Tecnológico de Castilla y León (ITCL);bicicard;No especificado;38,9943;-1,8602
AlGira;Portugal;Almeirim;Município de Almeirim;No especificado;Sí;39,2082;-8,6252
Alsa nextbike León;Spain;León;Leonbici Nextbike Gmbh Y Autobuses Urbanos De Leon S.a. Ute;Nextbike;No especificado;42,5987263;-5,5670959
alterVélo libre service;France;Saint-Pierre;Ecovelo;Ecovelo;Sí;-21,3414;55,4777
Ambici;Spain;Barcelona;Nextbike GmbH;Ambici;No especificado;41,44584;2,19902
Ambici;Spain;Badalona;Nextbike GmbH;Ambici;No especificado;41,447;2,245
Ambici;Spain;Castelldefels;Nextbike GmbH;Ambici;No especificado;41,2816;1,97678
Ambici;Spain;Cornellà de Llobregat;Nextbike GmbH;Ambici;No especificado;41,3585;2,07081
Ambici;Spain;El Prat de Llobregat;Nextbike GmbH;Ambici;No especificado;41,3239;2,09317
Ambici;Spain;Esplugues de Llobregat;Nextbike GmbH;Ambici;No especificado;41,3771;2,08938
Ambici;Spain;Gavà;Nextbike GmbH;Ambici;No especificado;41,303;2,00269
Ambici;Spain;Hospitalet de Llobregat;Nextbike GmbH;Ambici;No especificado;41,3631;2,1126
Ambici;Spain;Molins de Rei;Nextbike GmbH;Ambici;No especificado;41,4132;2,02037
Ambici;Spain;Sant Adrià de Besòs;Nextbike GmbH;Ambici;No especificado;41,43073;2,21855
Ambici;Spain;Sant Boi de Llobregat;Nextbike GmbH;Ambici;No especificado;41,3458;2,03404
Ambici;Spain;Sant Feliu de Llobregat;Nextbike GmbH;Ambici;No especificado;41,38333;2,05
Ambici;Spain;Sant Joan Despí;Nextbike GmbH;Ambici;No especificado;41,368;2,05635
Ambici;Spain;Sant Just Desvern;Nextbike GmbH;Ambici;No especificado;41,3807;2,07496
Ambici;Spain;Santa Coloma de Gramenet;Nextbike GmbH;Ambici;No especificado;41,4459;2,21033
Ambici;Spain;Viladecans;Nextbike GmbH;Ambici;No especificado;41,3165;2,01306
Andria in Bici;Italy;Andria;Comunicare S.r.l.;Bicincittà;No especificado;41,224346932834;16,296983922753956
VLS AQTAs;France;Auray-Quiberon;Fifteen;No especificado;No especificado;47,665705;-2,983669
Aral;China;阿拉尔市 (Aral);阿克苏公共服务;No especificado;No especificado;40,5577;81,2879
ARbike;Italy;Arezzo;Comunicare S.r.l.;Bicincittà;No especificado;43,473333;11,87
Ascoli Piceno;Italy;Ascoli Piceno;Comunicare S.r.l.;Bicincittà;No especificado;42,85;13,583333
AthensBikes;Greece;Athens;Brainbox Technology;EasyBike;No especificado;37,9838;23,7275
AuxR_M;France;Auxerre;Fifteen SAS;No especificado;No especificado;47,796054;3,571375
àVélo;Canada;Québec;PBSC Urban Solutions;No especificado;No especificado;46,81305;-71,2168
Aventura BCycle;United States;Aventura, FL;BCycle, LLC;BCycle;No especificado;25,95711;-80,1395
Avilés en Bici;Spain;Avilés;Instituto Tecnológico de Castilla y León (ITCL);bicicard;No especificado;43,5554;-5,9222
AW-bike Ahrweiler;Germany;Ahrweiler;nextbike GmbH;Nextbike;No especificado;50,5452;7,1212
Baksi;Türkiye;Antalya;Baksi Bike Sharing System;Baksi;No especificado;36,862048;30,638866
Çabis;Türkiye;Çanakkale;Baksi Bike Sharing System;Baksi;No especificado;40,1531;26,4146
Nilesplit;Türkiye;Nilüfer;Baksi Bike Sharing System;Baksi;No especificado;40,2127;28,9627
Batumvelo;Georgia;Batumi;BatumVelo;No especificado;No especificado;41,6478;41,6355
Bay Wheels;United States;San Francisco Bay Area, CA;Motivate LLC;No especificado;No especificado;37,7141454;-122,25
Pedaleando por Aller (BeALLER);Spain;Aller;Instituto Tecnológico de Castilla y León (ITCL);bicicard;No especificado;43,1482;-5,6295
BelfastBikes;United Kingdom;Belfast;Beryl;No especificado;No especificado;54,5969;-5,92918
Bentonville BCycle;United States;Bentonville, AR;BCycle, LLC;BCycle;No especificado;36,3605;-94,1996
Bysykkel;Norway;Bergen;Urban Sharing AS;No especificado;No especificado;60,391263;5,322054
Bergisches e-Bike;Germany;Bergisches e-Bike;Nextbike GmbH;Nextbike;No especificado;51,0192;7,18025
Beryl - Bournemouth, Christchurch and Poole;United Kingdom;Bournemouth, Christchurch and Poole;Beryl;No especificado;No especificado;50,7196;-1,8734
Beryl - Brighton;United Kingdom;Brighton;Beryl;No especificado;No especificado;50,8222;-0,1403
Beryl - Cornwall;United Kingdom;Cornwall;Beryl;No especificado;No especificado;50,2616;-5,051
Beryl - Dorchester, Weymouth and Portland;United Kingdom;Dorchester, Weymouth and Portland;Beryl;No especificado;No especificado;50,6085;-2,454
Beryl - Eastleigh;United Kingdom;Eastleigh;Beryl;No especificado;No especificado;50,9691;-1,3603
Beryl - Greater Manchester;United Kingdom;Greater Manchester;Beryl;No especificado;No especificado;53,4795;-2,2436
Beryl - Guildford;United Kingdom;Guildford;Beryl;No especificado;No especificado;51,2397;-0,5764
Beryl - Hereford;United Kingdom;Hereford;Beryl;No especificado;No especificado;52,0549;-2,7156
Beryl - Hertsmere;United Kingdom;Hertsmere;Beryl;No especificado;No especificado;51,6577;-0,2695
Beryl - Leeds;United Kingdom;Leeds;Beryl;No especificado;No especificado;53,7971;-1,5438
